nodeId,startNode,endNode
IHALL01502_IHALL01402,IHALL01502,IHALL01402
IHALL01503_IHALL01403,IHALL01503,IHALL01403
IHALL01503_IREST00203,IHALL01503,IREST00203
IHALL01504_IDEPT01804,IHALL01504,IDEPT01804
IHALL01504_IHALL01404,IHALL01504,IHALL01404
IHALL01505_IHALL01405,IHALL01505,IHALL01405
IHALL01601_IHALL01401,IHALL01601,IHALL01401
IHALL01601_IHALL02701,IHALL01601,IHALL02701
IHALL01602_IHALL01502,IHALL01602,IHALL01502
IHALL01602_ISERV00102,IHALL01602,ISERV00102
IHALL01603_IHALL01403,IHALL01603,IHALL01403
IHALL01604_IDEPT01704,IHALL01604,IDEPT01704
IHALL01604_IHALL01504,IHALL01604,IHALL01504
IHALL01605_IDEPT00505,IHALL01605,IDEPT00505
IHALL01605_IDEPT01005,IHALL01605,IDEPT01005
IHALL01605_IHALL01505,IHALL01605,IHALL01505
IHALL01701_IHALL01601,IHALL01701,IHALL01601
IHALL01701_IHALL02101,IHALL01701,IHALL02101
IHALL01702_IHALL01602,IHALL01702,IHALL01602
IHALL01703_IHALL01603,IHALL01703,IHALL01603
IHALL01703_ISERV00703,IHALL01703,ISERV00703
IHALL01704_IHALL01604,IHALL01704,IHALL01604
IHALL01704_ISERV01004,IHALL01704,ISERV01004
IHALL01705_IDEPT00605,IHALL01705,IDEPT00605
IHALL01705_IHALL01605,IHALL01705,IHALL01605
IHALL01801_IDEPT00601,IHALL01801,IDEPT00601
IHALL01801_IHALL00601,IHALL01801,IHALL00601
IHALL01801_IHALL01701,IHALL01801,IHALL01701
IHALL01802_IHALL01702,IHALL01802,IHALL01702
IHALL01803_IHALL01703,IHALL01803,IHALL01703
IHALL01803_ISERV00303,IHALL01803,ISERV00303
IHALL01804_IDEPT01604,IHALL01804,IDEPT01604
IHALL01804_IHALL01704,IHALL01804,IHALL01704
IHALL01805_IDEPT00705,IHALL01805,IDEPT00705
IHALL01805_IHALL01705,IHALL01805,IHALL01705
IHALL01901_IDEPT00201,IHALL01901,IDEPT00201
IHALL01901_IHALL01701,IHALL01901,IHALL01701
IHALL01901_IHALL02001,IHALL01901,IHALL02001
IHALL01902_IHALL01802,IHALL01902,IHALL01802
IHALL01902_IHALL02002,IHALL01902,IHALL02002
IHALL01902_IHALL02502,IHALL01902,IHALL02502
IHALL01903_IHALL01803,IHALL01903,IHALL01803
IHALL01903_IHALL02003,IHALL01903,IHALL02003
IHALL01904_IHALL01804,IHALL01904,IHALL01804
IHALL01904_IHALL02004,IHALL01904,IHALL02004
IHALL01904_ISTAI00304,IHALL01904,ISTAI00304
IHALL01905_IHALL01805,IHALL01905,IHALL01805
IHALL01905_IHALL02005,IHALL01905,IHALL02005
IHALL02001_IDEPT00301,IHALL02001,IDEPT00301
IHALL02003_IELEV00303,IHALL02003,IELEV00303
IHALL02004_IELEV00304,IHALL02004,IELEV00304
IHALL02102_IHALL02002,IHALL02102,IHALL02002
IHALL02102_IREST00102,IHALL02102,IREST00102
IHALL02103_ISERV00203,IHALL02103,ISERV00203
IHALL02104_IHALL02004,IHALL02104,IHALL02004
IHALL02105_IHALL02005,IHALL02105,IHALL02005
IHALL02105_ILAB00105,IHALL02105,ILAB00105
IHALL02201_IHALL02101,IHALL02201,IHALL02101
IHALL02202_IHALL02102,IHALL02202,IHALL02102
IHALL02203_IHALL02003,IHALL02203,IHALL02003
IHALL02203_IHALL02103,IHALL02203,IHALL02103
IHALL02203_ISERV00103,IHALL02203,ISERV00103
IHALL02204_IHALL02104,IHALL02204,IHALL02104
IHALL02205_IDEPT01305,IHALL02205,IDEPT01305
IHALL02205_IHALL02105,IHALL02205,IHALL02105
IHALL02205_ISTAI00305,IHALL02205,ISTAI00305
IHALL02301_IHALL02201,IHALL02301,IHALL02201
IHALL02301_ISERV00101,IHALL02301,ISERV00101
IHALL02302_IHALL02202,IHALL02302,IHALL02202
IHALL02303_IHALL02203,IHALL02303,IHALL02203
IHALL02303_ISERV00403,IHALL02303,ISERV00403
IHALL02304_IDEPT00504,IHALL02304,IDEPT00504
IHALL02304_IHALL02204,IHALL02304,IHALL02204
IHALL02305_IHALL02205,IHALL02305,IHALL02205
IHALL02305_IHALL02805,IHALL02305,IHALL02805
IHALL02401_IHALL02301,IHALL02401,IHALL02301
IHALL02401_IHALL02501,IHALL02401,IHALL02501
IHALL02401_ISTAI00101,IHALL02401,ISTAI00101
IHALL02402_IELEV00102,IHALL02402,IELEV00102
IHALL02402_IHALL02302,IHALL02402,IHALL02302
IHALL02402_IHALL02502,IHALL02402,IHALL02502
IHALL02402_ISTAI00202,IHALL02402,ISTAI00202
IHALL02404_IDEPT00604,IHALL02404,IDEPT00604
IHALL02404_IDEPT00704,IHALL02404,IDEPT00704
IHALL02404_IHALL02304,IHALL02404,IHALL02304
IHALL02404_IHALL02504,IHALL02404,IHALL02504
IHALL02405_IHALL02305,IHALL02405,IHALL02305
IHALL02405_IHALL02505,IHALL02405,IHALL02505
IHALL02601_IHALL02501,IHALL02601,IHALL02501
IHALL02602_IHALL01302,IHALL02602,IHALL01302
IHALL02604_IHALL02504,IHALL02604,IHALL02504
IHALL02605_IHALL02505,IHALL02605,IHALL02505
IHALL02702_IHALL01302,IHALL02702,IHALL01302
IHALL02704_IHALL02604,IHALL02704,IHALL02604
IHALL02801_IHALL02701,IHALL02801,IHALL02701
IHALL02801_IHALL03001,IHALL02801,IHALL03001
IHALL02804_IHALL02704,IHALL02804,IHALL02704
IHALL02804_ISERV00704,IHALL02804,ISERV00704
IHALL02901_IHALL02801,IHALL02901,IHALL02801
IHALL02904_IDEPT01004,IHALL02904,IDEPT01004
IHALL02904_IHALL02804,IHALL02904,IHALL02804
IHALL02904_IHALL03004,IHALL02904,IHALL03004
IHALL02905_IELEV00205,IHALL02905,IELEV00205
IHALL02905_IHALL02805,IHALL02905,IHALL02805
IHALL02905_IHALL03005,IHALL02905,IHALL03005
IHALL02905_IREST00205,IHALL02905,IREST00205
IHALL03001_IDEPT01001,IHALL03001,IDEPT01001
IHALL03004_ISERV00804,IHALL03004,ISERV00804
IHALL03005_ICONF00505,IHALL03005,ICONF00505
IHALL03005_IHALL02605,IHALL03005,IHALL02605
IHALL03101_IHALL03001,IHALL03101,IHALL03001
IHALL03104_IHALL03004,IHALL03104,IHALL03004
IHALL03105_IDEPT01605,IHALL03105,IDEPT01605
IHALL03105_IDEPT01705,IHALL03105,IDEPT01705
IHALL03105_IHALL03005,IHALL03105,IHALL03005
IHALL03204_IHALL03104,IHALL03204,IHALL03104
IHALL03204_ISERV00904,IHALL03204,ISERV00904
IHALL03205_IDEPT01805,IHALL03205,IDEPT01805
IHALL03205_IHALL03105,IHALL03205,IHALL03105
IHALL03304_IDEPT01404,IHALL03304,IDEPT01404
IHALL03304_IHALL03204,IHALL03304,IHALL03204
IHALL03304_ISTAI00404,IHALL03304,ISTAI00404
IHALL03305_IHALL03205,IHALL03305,IHALL03205
IHALL03404_ICONF00304,IHALL03404,ICONF00304
IHALL03404_IHALL02104,IHALL03404,IHALL02104
IHALL03404_ISERV00104,IHALL03404,ISERV00104
IHALL03405_IHALL03305,IHALL03405,IHALL03305
IHALL03405_IREST00305,IHALL03405,IREST00305
IHALL03504_IDEPT00404,IHALL03504,IDEPT00404
IHALL03504_IHALL03404,IHALL03504,IHALL03404
IHALL03504_IHALL03604,IHALL03504,IHALL03604
IHALL03504_ISERV00204,IHALL03504,ISERV00204
IHALL03505_IDEPT02005,IHALL03505,IDEPT02005
IHALL03505_ISTAI00105,IHALL03505,ISTAI00105
IHALL03704_IHALL03604,IHALL03704,IHALL03604
IHALL03804_ICONF00204,IHALL03804,ICONF00204
IHALL03804_IHALL03704,IHALL03804,IHALL03704
IHALL03904_IHALL03804,IHALL03904,IHALL03804
IKIOS00101_IHALL01301,IKIOS00101,IHALL01301
ILAB00101_IHALL00301,ILAB00101,IHALL00301
ILAB00201_IHALL02101,ILAB00201,IHALL02101
ILAB00301_IHALL02201,ILAB00301,IHALL02201
ILAB00401_IHALL02901,ILAB00401,IHALL02901
IPARK00201_IWALK01201,IPARK00201,IWALK01201
IPARK00301_IWALK01201,IPARK00301,IWALK01201
IPARK00401_IWALK01201,IPARK00401,IWALK01201
IPARK00501_IWALK01201,IPARK00501,IWALK01201
IPARK00601_IWALK01201,IPARK00601,IWALK01201
IPARK00701_IWALK01201,IPARK00701,IWALK01201
IPARK00801_IWALK01201,IPARK00801,IWALK01201
IPARK00901_IWALK01201,IPARK00901,IWALK01201
