id,startNode,endNode
IKIOS00101_IHALL01301,IKIOS00101,IHALL01301
IDEPT00701_IHALL01001,IDEPT00701,IHALL01001
IPARK00401_IWALK01201,IPARK00401,IWALK01201
IHALL01801_IHALL01701,IHALL01801,IHALL01701
IWALK01001_IWALK01301,IWALK01001,IWALK01301
IHALL01801_IHALL00601,IHALL01801,IHALL00601
IHALL02101_IHALL02201,IHALL02101,IHALL02201
IWALK00401_IWALK00301,IWALK00401,IWALK00301
IHALL03101_IHALL03001,IHALL03101,IHALL03001
IEXIT00201_IWALK01101,IEXIT00201,IWALK01101
IHALL00701_IHALL00601,IHALL00701,IHALL00601
IHALL00801_IHALL00901,IHALL00801,IHALL00901
IPARK02701_IWALK00101,IPARK02701,IWALK00101
IWALK00501_IWALK00601,IWALK00501,IWALK00601
IWALK00901_IWALK01001,IWALK00901,IWALK01001
IPARK00501_IWALK01201,IPARK00501,IWALK01201
IPARK01601_IWALK00101,IPARK01601,IWALK00101
IHALL01901_IHALL01701,IHALL01901,IHALL01701
IHALL00101_IHALL00201,IHALL00101,IHALL00201
IHALL01901_IDEPT00201,IHALL01901,IDEPT00201
