id,nodeA,nodeB
IHALL00601_IHALL00701,IHALL00601,IHALL00701
IELEV00201_IELEV00203,IELEV00201,IELEV00203
IELEV00201_IELEV00204,IELEV00201,IELEV00204
IELEV00203_IELEV00202,IELEV00203,IELEV00202
IHALL01201_IRETL00101,IHALL01201,IRETL00101
IELEV00201_IELEV00205,IELEV00201,IELEV00205
IELEV00202_IELEV00204,IELEV00202,IELEV00204
IHALL00703_IHALL00603,IHALL00703,IHALL00603
IHALL01901_IHALL01701,IHALL01901,IHALL01701
IHALL00602_IHALL00702,IHALL00602,IHALL00702
IHALL00204_IDEPT02104,IHALL00204,IDEPT02104
ISTAI00305_IHALL02205,ISTAI00305,IHALL02205
IPARK01801_BadSol1615935841,IPARK01801,BadSol1615935841
IHALL00605_IHALL00705,IHALL00605,IHALL00705
IHALL00604_IHALL00704,IHALL00604,IHALL00704
BadSol1615935944_IPARK01701,BadSol1615935944,IPARK01701
IHALL02401_ISTAI00101,IHALL02401,ISTAI00101
BadSol1615935839_IPARK02901,BadSol1615935839,IPARK02901
ParkIconFaulkW_BadSol1615935922,ParkIconFaulkW,BadSol1615935922
IDEPT01202_IHALL02302,IDEPT01202,IHALL02302
BadSol1615935581_BadSol9,BadSol1615935581,BadSol9
BadSol1615935583_BadSol8,BadSol1615935583,BadSol8
IELEV00203_IHALL02003,IELEV00203,IHALL02003
IREST00201_IHALL00801,IREST00201,IHALL00801
IHALL02205_IDEPT01305,IHALL02205,IDEPT01305
IELEV00204_IHALL02004,IELEV00204,IHALL02004
IHALL00601_IHALL01801,IHALL00601,IHALL01801
IWALK01101_BadSol5,IWALK01101,BadSol5
ISTAI00301_IHALL01101,ISTAI00301,IHALL01101
IHALL02003_IHALL02203,IHALL02003,IHALL02203
IWALK01201_IWALK01301,IWALK01201,IWALK01301
ISTAI00404_IHALL03304,ISTAI00404,IHALL03304
IHALL01105_IHALL01005,IHALL01105,IHALL01005
IHALL03405_IHALL03305,IHALL03405,IHALL03305
IHALL01803_ISERV00303,IHALL01803,ISERV00303
IDEPT01404_IHALL03304,IDEPT01404,IHALL03304
IHALL01003_IHALL01103,IHALL01003,IHALL01103
IDEPT01605_IHALL03105,IDEPT01605,IHALL03105
IHALL01104_IHALL01004,IHALL01104,IHALL01004
IHALL01902_IHALL01802,IHALL01902,IHALL01802
IHALL01905_IHALL01805,IHALL01905,IHALL01805
IHALL01803_IHALL01903,IHALL01803,IHALL01903
IHALL01904_IHALL01804,IHALL01904,IHALL01804
ISTAI00202_IHALL02402,ISTAI00202,IHALL02402
IPARK01901_BadSol1615935847,IPARK01901,BadSol1615935847
ISTAI00505_ISTAI00504,ISTAI00505,ISTAI00504
IHALL03404_IHALL02104,IHALL03404,IHALL02104
IELEV00303_IHALL02003,IELEV00303,IHALL02003
IELEV00304_IHALL02004,IELEV00304,IHALL02004
IHALL02101_IHALL02201,IHALL02101,IHALL02201
IHALL02102_IHALL02202,IHALL02102,IHALL02202
ISERV00504_IHALL02804,ISERV00504,IHALL02804
IDEPT00102_IHALL00102,IDEPT00102,IHALL00102
IELEV00301_IELEV00304,IELEV00301,IELEV00304
IELEV00301_IELEV00305,IELEV00301,IELEV00305
IRETL00101_IKIOS00101,IRETL00101,IKIOS00101
IELEV00302_IELEV00304,IELEV00302,IELEV00304
IHALL02104_IHALL02004,IHALL02104,IHALL02004
IELEV00303_IELEV00304,IELEV00303,IELEV00304
IELEV00302_IELEV00305,IELEV00302,IELEV00305
IELEV00303_IELEV00305,IELEV00303,IELEV00305
IHALL02105_IHALL02005,IHALL02105,IHALL02005
IHALL00602_IHALL00502,IHALL00602,IHALL00502
IELEV00301_IELEV00302,IELEV00301,IELEV00302
IELEV00301_IELEV00303,IELEV00301,IELEV00303
IHALL00601_IHALL00501,IHALL00601,IHALL00501
IDEPT02204_IHALL00304,IDEPT02204,IHALL00304
IHALL00604_IHALL00504,IHALL00604,IHALL00504
IHALL02901_IHALL02801,IHALL02901,IHALL02801
IHALL00503_IHALL00603,IHALL00503,IHALL00603
IHALL00605_IHALL00505,IHALL00605,IHALL00505
BadSol1615935186_BadSol1615935193,BadSol1615935186,BadSol1615935193
BadSol1615935581_BadSol14,BadSol1615935581,BadSol14
IHALL02904_IHALL02804,IHALL02904,IHALL02804
IHALL02905_IHALL02805,IHALL02905,IHALL02805
BadSol1615935583_BadSol15,BadSol1615935583,BadSol15
IHALL03404_ISERV00104,IHALL03404,ISERV00104
